[2025-12-28 10:59:45.020] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.logout
[2025-12-28 10:59:45.020] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.login
[2025-12-28 10:59:45.020] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.edit
[2025-12-28 10:59:45.020] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.newPassword
[2025-12-28 10:59:45.020] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.bindUniNotify
[2025-12-28 10:59:45.021] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.sendLoginMsg
[2025-12-28 10:59:45.021] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.advert.list
[2025-12-28 10:59:45.021] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.advert.delete
[2025-12-28 10:59:45.021] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.advert.create
[2025-12-28 10:59:45.021] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.advert.edit
[2025-12-28 10:59:45.021] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.appraise.list
[2025-12-28 10:59:45.021] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.appraise.delete
[2025-12-28 10:59:45.021] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.category.update
[2025-12-28 10:59:45.022] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.category.list
[2025-12-28 10:59:45.022] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.category.delete
[2025-12-28 10:59:45.022] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.category.create
[2025-12-28 10:59:45.022] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.category.categoryTree
[2025-12-28 10:59:45.022] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.coupon.list
[2025-12-28 10:59:45.022] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.coupon.delete
[2025-12-28 10:59:45.022] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.coupon.create
[2025-12-28 10:59:45.022] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.coupon.edit
[2025-12-28 10:59:45.022] [main] INFO  c.dobbinsoft.fw.launcher.manager.ClusterApiManager:162 - [注册OpenApi] admin.coupon.updateCouponStatus
